Course,Module,Lesson,Instructor,Gender,Script
"Help","Getting Started","Welcome","Sarah","Female","Welcome to the family. I am Sarah, your Head of School Success. I know that learning a new system is usually the last thing you want to do on a Tuesday afternoon. So, we made this simple. You have received your login. The first thing you will see is your 'Command Center'. It is not a list of files; it is a prioritized list of actions. If a child needs attention, they are at the top. If a deadline is approaching, it is highlighted in amber. Your first job is just to verify your school profile. Click 'Settings', check your SENCO details, and you are done. The system will now automatically route your referrals to the correct Local Authority team. No more chasing emails."
"Help","Assessment","First Assessment","Sarah","Female","In the old days, requesting an assessment meant a twenty-page Word document that often got sent back for missing information. Let us stop that cycle. Click 'New Case'. You will see our Referral Wizard. It does not just ask for 'History'; it asks specific, clinical questions. 'What are the primary needs?' 'What interventions have you tried?' As you type, the system saves your work. If you get interrupted by a fire drill, nothing is lost. When you press 'Submit', it instantly checks for common errors. It is like having an EP sitting next to you, checking your work before you send it."
"Help","Reports","Generating Reports","Sarah","Female","Data is useless if you cannot present it. Whether it is for an Annual Review, a Governor's meeting, or an Ofsted inspection, you need clear answers, fast. Go to the 'Reports' tab. You can generate a 'Whole School Provision Map' in one click. It shows exactly how many hours of support are being delivered, by whom, and—most importantly—the impact it is having. You can download this as a PDF or Excel file. It turns your daily hard work into visible, undeniable evidence of your school's inclusive practice."
"LA Portal","Dashboard","Overview","Sarah","Female","For our Local Authority partners, the challenge is volume. You have thousands of children and limited resources. This dashboard is your air traffic control. The 'Incoming Requests' panel automatically sorts referrals by urgency and completeness. You can see at a glance which schools are engaging well and which might need support. Assigning a case to an EP is a drag-and-drop process. The system warns you if an EP is over capacity, helping you protect your team's wellbeing while ensuring statutory deadlines are met."
"Help","Security","Data Architecture","Adrian","Male","Security is not a feature; it is the foundation. EdPsych Connect is built on a Zero-Trust architecture. This means that by default, no one has access to anything unless explicitly authorized. Every piece of data—from a child's name to a clinical report—is encrypted both in transit and at rest using AES-256 standards. Even our own database administrators cannot see the content of your clinical notes. We maintain an immutable audit log. Every view, every edit, and every download is recorded. You always know exactly who accessed a file and when. Total transparency, total control."
"Compliance","GDPR","Data Autonomy","Adrian","Male","We believe in Data Autonomy. You are the data controller; we are the processor. You own the records. Our 'Data Sovereignty' tools allow you to fulfill Subject Access Requests (SARs) in minutes, not days. You can redact sensitive information and export a compliant package with a single workflow. And if you ever leave EdPsych Connect, we provide a 'Golden Record' export. We do not hold your data hostage. It is yours, forever."
"Innovation","Safety Net","Logic","Adrian","Male","Dr. Scott talks about the Safety Net as a concept. I am here to explain the engine. It runs on a nightly cron job, analyzing the delta between expected progress and actual progress. We use a deviation algorithm. If a student's progress score flatlines for more than 45 days, the system triggers a 'Stagnation Alert'. It is not guessing; it is measuring the rate of change against a clinical baseline. This allows us to flag potential issues weeks before they become crises. It is computational psychiatry in service of the child."
"Help","Troubleshooting","System Diagnostics","Adrian","Male","Software should tell you when it is hurting. Our 'System Health' panel gives you real-time metrics on platform performance. If an upload fails due to a poor connection, our 'Resumable Upload' protocol pauses and retries automatically. You do not need to start over. We handle the network jitter for you. If you do encounter a bug, the 'Diagnostic Report' button captures the state of the application and sends it securely to my engineering team. We often fix issues before you even have time to call us."
"Coding","Intro","Journey","Dr. Maya","Female","Why do we teach coding alongside emotional literacy? Because coding is about logic, sequence, and cause-and-effect. These are the same executive functions that help us regulate our behavior. We do not start with complex text. We start with blocks. We start with stories. By controlling a character on the screen, a child learns that they have agency. They can change the outcome."
"Coding","Python","Basics","Dr. Maya","Female","Once you have mastered the logic of blocks, we introduce Python. It is the language of data science and AI. It looks like plain English, but it is powerful. Today, we are learning about 'Variables'. Think of a variable like a box. You can put a number in it, or a word. And you can give that box a name. It is how computers remember things."
"Coding","React","Intro","Dr. Maya","Female","React is what we used to build EdPsych Connect. It is like digital LEGO. You build small components—a button, a card, a menu—and you snap them together to make an app. In this module, you will build your own 'Mood Tracker'. You will create buttons for 'Happy', 'Sad', and 'Calm', and write the code to count your feelings. You are building a tool to help yourself."
